True Values,Predicted Values,True Characters,Predicted Characters,Character Distance,Matching
-0.21,-0.12546891,I,J,1,0
0.02,-0.036277004,M,L,1,0
-0.07,0.035155468,K,M,2,0
0.19,0.14708278,N,N,0,1
0.69,0.06280918,Q,M,4,0
-0.65,-0.17239407,D,J,6,0
-0.11,-0.05544149,K,L,1,0
0.02,-0.06452775,M,L,1,0
0.11,-0.0034213066,N,L,2,0
0.53,0.06943091,P,M,3,0
0.09,0.049821205,N,M,1,0
-0.39,-0.16775161,F,J,4,0
-0.21,-0.1390239,I,J,1,0
-0.05,-0.04334958,L,L,0,1
-0.04,0.0078116655,L,M,1,0
0.63,0.10643179,Q,N,3,0
-0.35,0.073531084,G,M,6,0
-0.12,-0.16606134,K,J,1,0
-0.53,-0.14073995,E,J,5,0
0.14,-0.087011024,N,K,3,0
-0.26,0.018937722,H,M,5,0
-0.05,0.08437362,L,M,1,0
0.19,0.053179443,N,M,1,0
0.33,-0.14516032,O,J,5,0
-0.12,-0.072505616,K,K,0,1
0.21,-0.0514019,N,L,2,0
0.0,-0.07778422,M,K,2,0
0.04,0.047605306,M,M,0,1
0.12,0.028662756,N,M,1,0
-0.35,-0.054924592,G,L,5,0
-0.07,-0.11034939,K,K,0,1
0.05,-0.07387406,M,K,2,0
-0.09,0.02272857,K,M,2,0
0.49,0.034881495,P,M,3,0
-0.11,-0.17842582,K,I,2,0
-0.16,-0.12432924,J,J,0,1
0.02,-0.012458421,M,L,1,0
-0.14,-0.009313822,J,L,2,0
-0.04,0.049559064,L,M,1,0
0.42,0.03754133,P,M,3,0
-0.21,-0.08283214,I,K,2,0
-0.02,-0.14825201,L,J,2,0
-0.03,-0.109779686,L,K,1,0
0.25,0.019344434,O,M,2,0
-0.39,0.08062322,F,M,7,0
0.23,0.051979274,O,M,2,0
0.18,-0.11965883,N,K,3,0
-0.21,-0.12615871,I,J,1,0
0.02,-0.035592727,M,L,1,0
-0.07,0.028642744,K,M,2,0
0.19,0.14943513,N,N,0,1
0.69,0.07710011,Q,M,4,0
-0.65,-0.17138934,D,J,6,0
-0.11,-0.06286134,K,L,1,0
0.02,-0.06450448,M,L,1,0
0.11,0.0015868992,N,M,1,0
0.53,0.068551905,P,M,3,0
0.09,0.053285085,N,M,1,0
-0.39,-0.16230264,F,J,4,0
-0.21,-0.14194717,I,J,1,0
-0.05,-0.039606795,L,L,0,1
-0.04,0.0066220313,L,M,1,0
0.63,0.12184278,Q,N,3,0
-0.35,0.082323305,G,M,6,0
-0.12,-0.16873634,K,J,1,0
-0.53,-0.12983267,E,J,5,0
0.14,-0.087327376,N,K,3,0
-0.26,0.018940434,H,M,5,0
-0.05,0.07920845,L,M,1,0
0.19,0.052557796,N,M,1,0
0.33,-0.16186225,O,J,5,0
-0.12,-0.07367279,K,K,0,1
0.21,-0.05407776,N,L,2,0
0.0,-0.06858742,M,L,1,0
0.04,0.04288967,M,M,0,1
0.12,0.026807114,N,M,1,0
-0.35,-0.06495114,G,L,5,0
-0.07,-0.14582223,K,J,1,0
-0.05,-0.09140627,L,K,1,0
-0.09,0.004085213,K,M,2,0
0.49,0.023900494,P,M,3,0
-0.11,-0.18587564,K,I,2,0
-0.16,-0.13195178,J,J,0,1
0.02,-0.002479449,M,L,1,0
-0.14,-0.007375136,J,L,2,0
-0.04,0.036748625,L,M,1,0
0.42,0.022425666,P,M,3,0
-0.21,-0.08610388,I,K,2,0
-0.02,-0.12969732,L,J,2,0
-0.03,-0.10539864,L,K,1,0
0.25,0.01841022,O,M,2,0
-0.39,0.07410377,F,M,7,0
0.23,0.04643692,O,M,2,0
0.18,-0.12532441,N,J,4,0
-0.21,-0.12553813,I,J,1,0
0.02,-0.041641295,M,L,1,0
-0.07,0.02141618,K,M,2,0
0.19,0.14704965,N,N,0,1
0.69,0.08960813,Q,N,3,0
-0.65,-0.15998821,D,J,6,0
-0.11,-0.06249533,K,L,1,0
0.02,-0.07067906,M,K,2,0
0.11,0.01341594,N,M,1,0
0.53,0.07063436,P,M,3,0
0.09,0.053064726,N,M,1,0
-0.39,-0.15013348,F,J,4,0
-0.21,-0.14210328,I,J,1,0
-0.05,-0.04009305,L,L,0,1
-0.04,0.0041619986,L,M,1,0
0.63,0.1326818,Q,N,3,0
-0.35,0.0917085,G,N,7,0
-0.12,-0.17387068,K,I,2,0
-0.53,-0.12330288,E,K,6,0
0.14,-0.08655761,N,K,3,0
-0.26,0.01843974,H,M,5,0
-0.05,0.08170716,L,M,1,0
0.19,0.048529297,N,M,1,0
0.33,-0.16692549,O,J,5,0
-0.12,-0.079686746,K,K,0,1
0.21,-0.0494138,N,L,2,0
0.0,-0.060488194,M,L,1,0
0.04,0.038511798,M,M,0,1
0.12,0.028947711,N,M,1,0
-0.35,-0.06655298,G,L,5,0
-0.07,-0.15088606,K,J,1,0
-0.05,-0.09282643,L,K,1,0
0.09,-0.012750521,N,L,2,0
0.49,0.004164189,P,M,3,0
-0.11,-0.19547537,K,I,2,0
-0.16,-0.13528797,J,J,0,1
0.02,0.0012768283,M,M,0,1
-0.14,-0.014303029,J,L,2,0
-0.04,0.03142325,L,M,1,0
0.42,0.01400812,P,M,3,0
-0.21,-0.08953945,I,K,2,0
-0.02,-0.123498626,L,K,1,0
-0.03,-0.10356577,L,K,1,0
0.25,0.016356952,O,M,2,0
-0.39,0.07154979,F,M,7,0
0.23,0.047446817,O,M,2,0
0.18,-0.12279411,N,K,3,0
-0.21,-0.12658432,I,J,1,0
0.02,-0.054354608,M,L,1,0
-0.07,0.016023248,K,M,2,0
0.19,0.14823824,N,N,0,1
0.69,0.10128816,Q,N,3,0
-0.65,-0.14258954,D,J,6,0
-0.11,-0.05429583,K,L,1,0
0.02,-0.058040947,M,L,1,0
0.11,0.021228634,N,M,1,0
0.53,0.02820836,P,M,3,0
0.09,0.041949376,N,M,1,0
-0.39,-0.148553,F,J,4,0
-0.21,-0.13252477,I,J,1,0
-0.05,-0.04040031,L,L,0,1
-0.04,0.0040684864,L,M,1,0
0.63,0.13107595,Q,N,3,0
-0.35,0.094605125,G,N,7,0
-0.12,-0.18690155,K,I,2,0
-0.53,-0.12920716,E,J,5,0
0.14,-0.08610595,N,K,3,0
-0.26,0.01696828,H,M,5,0
-0.05,0.08423568,L,M,1,0
0.19,0.048343524,N,M,1,0
0.33,-0.16602406,O,J,5,0
-0.12,-0.091098346,K,K,0,1
0.21,-0.050219603,N,L,2,0
0.0,-0.05945649,M,L,1,0
0.04,0.03312055,M,M,0,1
0.12,0.029476196,N,M,1,0
-0.35,-0.0536907,G,L,5,0
-0.07,-0.14460546,K,J,1,0
-0.05,-0.09459314,L,K,1,0
0.09,-0.008468747,N,L,2,0
0.23,0.04715994,O,M,2,0
-0.11,-0.2119738,K,I,2,0
-0.16,-0.13977495,J,J,0,1
0.02,-0.0066246316,M,L,1,0
-0.14,-0.03511344,J,L,2,0
-0.04,0.037054867,L,M,1,0
0.42,0.043006614,P,M,3,0
-0.21,-0.104123,I,K,2,0
-0.02,-0.1388068,L,J,2,0
-0.03,-0.11104263,L,K,1,0
0.25,-0.002242148,O,M,2,0
-0.39,0.06533735,F,M,7,0
0.23,0.053245634,O,M,2,0
0.18,-0.11992677,N,K,3,0
-0.21,-0.13221607,I,J,1,0
0.02,-0.07735014,M,K,2,0
-0.07,0.02352231,K,M,2,0
0.19,0.16761677,N,N,0,1
0.69,0.11522335,Q,N,3,0
-0.65,-0.14154239,D,J,6,0
-0.11,-0.048939124,K,L,1,0
0.02,-0.0502282,M,L,1,0
0.11,0.024101123,N,M,1,0
0.53,0.035579644,P,M,3,0
0.09,0.042277552,N,M,1,0
-0.39,-0.1669716,F,J,4,0
-0.21,-0.16309659,I,J,1,0
-0.05,-0.07134254,L,K,1,0
-0.04,-0.007906839,L,L,0,1
0.63,0.118808106,Q,N,3,0
-0.35,0.088167705,G,N,7,0
-0.12,-0.19626026,K,I,2,0
-0.53,-0.1433028,E,J,5,0
0.14,-0.08893571,N,K,3,0
-0.26,0.005727127,H,M,5,0
-0.05,0.087230906,L,M,1,0
0.19,0.0460729,N,M,1,0
0.33,-0.17540999,O,I,6,0
-0.12,-0.10481201,K,K,0,1
0.21,-0.054422162,N,L,2,0
0.0,-0.06662476,M,L,1,0
0.04,0.023071334,M,M,0,1
0.12,0.024185643,N,M,1,0
-0.35,-0.06086713,G,L,5,0
-0.07,-0.1474517,K,J,1,0
-0.05,-0.108078755,L,K,1,0
0.09,-0.014162615,N,L,2,0
0.23,0.038917735,O,M,2,0
0.04,0.04260522,M,M,0,1
-0.16,-0.15060943,J,J,0,1
0.02,-0.009395137,M,L,1,0
-0.14,-0.041850053,J,L,2,0
-0.04,0.036724813,L,M,1,0
0.42,0.050646454,P,M,3,0
-0.21,-0.11012584,I,K,2,0
-0.02,-0.1450535,L,J,2,0
-0.03,-0.1241819,L,J,2,0
0.25,-0.016922787,O,L,3,0
-0.39,0.05817377,F,M,7,0
0.23,0.057597674,O,M,2,0
0.18,-0.11068619,N,K,3,0
-0.21,-0.12030194,I,K,2,0
0.02,-0.087061,M,K,2,0
-0.07,0.022311345,K,M,2,0
0.19,0.17466028,N,N,0,1
0.69,0.117581874,Q,N,3,0
-0.65,-0.14254679,D,J,6,0
-0.11,-0.037605703,K,L,1,0
0.02,-0.044381216,M,L,1,0
0.11,0.02291844,N,M,1,0
0.53,0.024000064,P,M,3,0
0.09,0.048617832,N,M,1,0
-0.39,-0.19263698,F,I,3,0
-0.21,-0.17073508,I,J,1,0
-0.05,-0.050639436,L,L,0,1
-0.04,-0.016866505,L,L,0,1
0.63,0.10086103,Q,N,3,0
-0.35,0.077044055,G,M,6,0
-0.12,-0.19991872,K,I,2,0
-0.53,-0.16137001,E,J,5,0
0.14,-0.09300428,N,K,3,0
-0.26,0.003157571,H,M,5,0
-0.05,0.08358381,L,M,1,0
0.19,0.03986965,N,M,1,0
0.33,-0.18591927,O,I,6,0
-0.12,-0.1101779,K,K,0,1
0.21,-0.06015905,N,L,2,0
0.0,-0.07938894,M,K,2,0
0.04,0.022907063,M,M,0,1
0.12,0.023476586,N,M,1,0
-0.35,-0.064682454,G,L,5,0
-0.07,-0.13231638,K,J,1,0
-0.05,-0.10213996,L,K,1,0
0.09,-0.014066905,N,L,2,0
0.23,0.04275991,O,M,2,0
0.04,0.052329734,M,M,0,1
-0.09,-0.10247466,K,K,0,1
0.02,-0.018247366,M,L,1,0
-0.14,-0.04925172,J,L,2,0
-0.04,0.046493355,L,M,1,0
0.42,0.056787327,P,M,3,0
-0.21,-0.11625403,I,K,2,0
-0.02,-0.16101734,L,J,2,0
-0.03,-0.11828947,L,K,1,0
0.25,-0.031535707,O,L,3,0
-0.39,0.04656095,F,M,7,0
0.23,0.076147236,O,M,2,0
0.18,-0.09976602,N,K,3,0
-0.21,-0.101885766,I,K,2,0
0.02,-0.088825576,M,K,2,0
-0.07,0.02069106,K,M,2,0
0.19,0.16952546,N,N,0,1
0.69,0.11474177,Q,N,3,0
-0.65,-0.14956672,D,J,6,0
-0.11,-0.03574624,K,L,1,0
0.02,-0.042383194,M,L,1,0
0.11,0.023071572,N,M,1,0
0.53,0.029698044,P,M,3,0
0.09,0.06779011,N,M,1,0
-0.39,-0.21493691,F,I,3,0
-0.21,-0.18827939,I,I,0,1
-0.05,-0.05067274,L,L,0,1
-0.04,-0.006506324,L,L,0,1
0.63,0.09333255,Q,N,3,0
-0.35,0.06429255,G,M,6,0
-0.12,-0.20738795,K,I,2,0
-0.53,-0.1727613,E,J,5,0
0.14,-0.09419785,N,K,3,0
-0.26,0.0044837,H,M,5,0
-0.05,0.07807493,L,M,1,0
0.19,0.06131927,N,M,1,0
0.33,-0.19009478,O,I,6,0
-0.12,-0.110109724,K,K,0,1
0.21,-0.06614044,N,L,2,0
0.0,-0.071204446,M,K,2,0
0.04,0.017675623,M,M,0,1
0.12,0.0412938,N,M,1,0
-0.35,-0.04670547,G,L,5,0
-0.07,-0.11347673,K,K,0,1
-0.05,-0.07802515,L,K,1,0
0.09,0.006238565,N,M,1,0
0.23,0.069965124,O,M,2,0
0.04,0.086520016,M,M,0,1
-0.09,-0.07592128,K,K,0,1
-0.46,-0.08528274,E,K,6,0
-0.14,-0.052337892,J,L,2,0
-0.04,0.043212764,L,M,1,0
0.42,0.055364102,P,M,3,0
-0.21,-0.12033951,I,K,2,0
-0.02,-0.16435492,L,J,2,0
-0.03,-0.10318064,L,K,1,0
0.25,-0.03468003,O,L,3,0
-0.39,0.03548887,F,M,7,0
0.23,0.0607228,O,M,2,0
0.18,-0.10740323,N,K,3,0
-0.21,-0.08907637,I,K,2,0
0.02,-0.082540736,M,K,2,0
-0.07,0.0101087615,K,M,2,0
0.19,0.16200389,N,N,0,1
0.69,0.10569602,Q,N,3,0
-0.65,-0.15996085,D,J,6,0
-0.11,-0.0368094,K,L,1,0
0.02,-0.042633265,M,L,1,0
0.11,0.024204783,N,M,1,0
0.53,0.036244273,P,M,3,0
0.09,0.086690426,N,M,1,0
-0.39,-0.2133731,F,I,3,0
-0.21,-0.20012091,I,I,0,1
-0.05,-0.042349577,L,L,0,1
-0.04,-0.012866333,L,L,0,1
0.63,0.08196676,Q,M,4,0
-0.35,0.06704916,G,M,6,0
-0.12,-0.20387974,K,I,2,0
-0.53,-0.1753152,E,I,4,0
0.14,-0.0921592,N,K,3,0
-0.26,0.009814009,H,M,5,0
-0.05,0.07702405,L,M,1,0
0.19,0.058856025,N,M,1,0
0.33,-0.1957325,O,I,6,0
-0.12,-0.10611807,K,K,0,1
0.21,-0.06575785,N,L,2,0
0.0,-0.08048074,M,K,2,0
0.04,0.01119037,M,M,0,1
0.12,0.036977544,N,M,1,0
-0.35,-0.06424349,G,L,5,0
-0.07,-0.13822603,K,J,1,0
-0.05,-0.081270576,L,K,1,0
0.09,-0.0028332323,N,L,2,0
0.23,0.057549715,O,M,2,0
0.04,0.08257176,M,M,0,1
-0.09,-0.08454862,K,K,0,1
-0.46,-0.10106526,E,K,6,0
-0.18,-0.05675993,I,L,3,0
-0.04,0.032075517,L,M,1,0
0.42,0.04376732,P,M,3,0
-0.21,-0.12380368,I,K,2,0
-0.02,-0.16941683,L,J,2,0
-0.03,-0.086907126,L,K,1,0
0.25,-0.032051094,O,L,3,0
-0.39,0.029878974,F,M,7,0
0.23,0.04528924,O,M,2,0
0.18,-0.099694416,N,K,3,0
-0.21,-0.082333155,I,K,2,0
0.02,-0.07066027,M,K,2,0
-0.07,-0.006215006,K,L,1,0
0.19,0.15565072,N,N,0,1
0.69,0.09787032,Q,N,3,0
-0.65,-0.16931905,D,J,6,0
-0.11,-0.045206167,K,L,1,0
0.02,-0.043156654,M,L,1,0
0.11,0.028443694,N,M,1,0
0.53,0.048797056,P,M,3,0
0.09,0.105010405,N,N,0,1
-0.39,-0.1911546,F,I,3,0
-0.21,-0.20435056,I,I,0,1
-0.05,-0.048144884,L,L,0,1
-0.04,-0.0055742785,L,L,0,1
0.63,0.089620635,Q,N,3,0
-0.35,0.07696281,G,M,6,0
-0.12,-0.19260032,K,I,2,0
-0.53,-0.17772399,E,I,4,0
0.14,-0.08893925,N,K,3,0
-0.26,0.014223106,H,M,5,0
-0.05,0.08124807,L,M,1,0
0.19,0.06322944,N,M,1,0
0.33,-0.19101712,O,I,6,0
-0.12,-0.10175266,K,K,0,1
0.21,-0.061015368,N,L,2,0
0.0,-0.08251073,M,K,2,0
0.04,0.014668092,M,M,0,1
0.12,0.037940703,N,M,1,0
-0.35,-0.071837366,G,K,4,0
-0.07,-0.13991037,K,J,1,0
-0.05,-0.07790344,L,K,1,0
0.09,0.004054755,N,M,1,0
0.23,0.056590214,O,M,2,0
0.04,0.08739375,M,M,0,1
-0.09,-0.077334166,K,K,0,1
-0.46,-0.097488225,E,K,6,0
-0.18,-0.058449373,I,L,3,0
-0.11,0.019897997,K,M,2,0
0.42,0.028064646,P,M,3,0
-0.21,-0.12465923,I,J,1,0
-0.02,-0.16850963,L,J,2,0
-0.03,-0.07722448,L,K,1,0
0.25,-0.022522025,O,L,3,0
-0.39,0.030349404,F,M,7,0
0.23,0.037484188,O,M,2,0
0.18,-0.09386019,N,K,3,0
-0.21,-0.083982475,I,K,2,0
0.02,-0.06012638,M,L,1,0
-0.07,-0.017463438,K,L,1,0
0.19,0.15279913,N,N,0,1
0.69,0.094424166,Q,N,3,0
-0.65,-0.16416995,D,J,6,0
-0.11,-0.05241943,K,L,1,0
0.02,-0.047400057,M,L,1,0
0.11,0.030999497,N,M,1,0
0.53,0.059157148,P,M,3,0
0.09,0.12021217,N,N,0,1
-0.39,-0.16922894,F,J,4,0
-0.21,-0.19448067,I,I,0,1
-0.05,-0.033828355,L,L,0,1
-0.04,0.0011985004,L,M,1,0
0.63,0.056079164,Q,M,4,0
-0.35,0.0897902,G,N,7,0
-0.12,-0.19463985,K,I,2,0
-0.53,-0.17879064,E,I,4,0
0.14,-0.10337095,N,K,3,0
-0.26,0.0171277,H,M,5,0
-0.05,0.08682102,L,M,1,0
0.19,0.06753913,N,M,1,0
0.33,-0.19052097,O,I,6,0
-0.12,-0.10559671,K,K,0,1
0.21,-0.05481875,N,L,2,0
0.0,-0.07894207,M,K,2,0
0.04,0.016518757,M,M,0,1
0.12,0.039951228,N,M,1,0
-0.35,-0.07114165,G,K,4,0
-0.07,-0.14585951,K,J,1,0
-0.05,-0.0759609,L,K,1,0
0.09,0.005823612,N,M,1,0
0.23,0.05572468,O,M,2,0
0.04,0.08403209,M,M,0,1
-0.09,-0.06498026,K,L,1,0
-0.46,-0.09020778,E,K,6,0
-0.18,-0.057106286,I,L,3,0
-0.11,0.022648096,K,M,2,0
0.16,0.019924715,N,M,1,0
-0.21,-0.12952371,I,J,1,0
-0.02,-0.16262922,L,J,2,0
-0.03,-0.076721534,L,K,1,0
0.25,-0.014067948,O,L,3,0
-0.39,0.04304446,F,M,7,0
0.23,0.044917982,O,M,2,0
0.18,-0.09694111,N,K,3,0
-0.21,-0.08972669,I,K,2,0
0.02,-0.047572814,M,L,1,0
-0.07,-0.03847132,K,L,1,0
0.19,0.14740841,N,N,0,1
0.69,0.092783034,Q,N,3,0
-0.65,-0.14974561,D,J,6,0
-0.11,-0.06252709,K,L,1,0
0.02,-0.05449702,M,L,1,0
0.11,0.041623965,N,M,1,0
0.53,0.06587008,P,M,3,0
0.09,0.123374805,N,N,0,1
-0.39,-0.1686009,F,J,4,0
-0.21,-0.1884786,I,I,0,1
-0.05,-0.024433337,L,L,0,1
-0.04,0.010151386,L,M,1,0
0.63,0.06784573,Q,M,4,0
-0.35,0.066694126,G,M,6,0
-0.12,-0.17676374,K,I,2,0
-0.53,-0.21354206,E,I,4,0
0.14,-0.111284904,N,K,3,0
-0.26,0.0010920614,H,M,5,0
-0.05,0.091887616,L,N,2,0
0.19,0.06690756,N,M,1,0
0.33,-0.19193783,O,I,6,0
-0.12,-0.10953007,K,K,0,1
0.21,-0.051592395,N,L,2,0
0.0,-0.080246605,M,K,2,0
0.04,0.017918706,M,M,0,1
0.12,0.042298056,N,M,1,0
-0.35,-0.06855434,G,L,5,0
-0.07,-0.15736248,K,J,1,0
-0.05,-0.076824576,L,K,1,0
0.09,0.00053578615,N,M,1,0
0.23,0.05710321,O,M,2,0
0.04,0.07380592,M,M,0,1
-0.09,-0.07683534,K,K,0,1
-0.46,-0.09765308,E,K,6,0
-0.18,-0.06542282,I,L,3,0
-0.11,0.0069738775,K,M,2,0
0.16,0.004304394,N,M,1,0
0.05,0.010266244,M,M,0,1
-0.02,-0.15814258,L,J,2,0
-0.03,-0.07243403,L,K,1,0
0.25,0.0055745915,O,M,2,0
-0.39,0.056920707,F,M,7,0
0.23,0.058094002,O,M,2,0
0.18,-0.10478678,N,K,3,0
-0.21,-0.079955205,I,K,2,0
0.02,-0.037616365,M,L,1,0
-0.07,-0.039399162,K,L,1,0
0.19,0.14158738,N,N,0,1
0.69,0.08691014,Q,M,4,0
-0.65,-0.1378743,D,J,6,0
-0.11,-0.060095593,K,L,1,0
0.02,-0.057685934,M,L,1,0
0.11,0.039850093,N,M,1,0
0.53,0.064280264,P,M,3,0
0.09,0.11351568,N,N,0,1
-0.39,-0.18265146,F,I,3,0
-0.21,-0.1791997,I,I,0,1
-0.05,-0.013569668,L,L,0,1
-0.04,0.014605701,L,M,1,0
0.63,0.05888672,Q,M,4,0
-0.35,0.065607615,G,M,6,0
-0.12,-0.15628923,K,J,1,0
-0.53,-0.24192736,E,H,3,0
0.14,-0.096396744,N,K,3,0
-0.26,-0.040136263,H,L,4,0
-0.05,0.08005986,L,M,1,0
0.19,0.059526145,N,M,1,0
0.33,-0.20024887,O,I,6,0
-0.12,-0.11286076,K,K,0,1
0.21,-0.053137496,N,L,2,0
0.0,-0.07797065,M,K,2,0
0.04,0.021910101,M,M,0,1
0.12,0.04218258,N,M,1,0
-0.35,-0.06652766,G,L,5,0
-0.07,-0.16011381,K,J,1,0
-0.05,-0.07708622,L,K,1,0
0.09,0.001246348,N,M,1,0
0.23,0.0699799,O,M,2,0
0.04,0.08027695,M,M,0,1
-0.09,-0.08671129,K,K,0,1
-0.46,-0.08972609,E,K,6,0
-0.18,-0.05350212,I,L,3,0
-0.11,0.009414226,K,M,2,0
0.16,0.0060635656,N,M,1,0
0.05,0.016979262,M,M,0,1
0.18,-0.1015476,N,K,3,0
-0.03,-0.07620758,L,K,1,0
0.25,0.007986233,O,M,2,0
-0.39,0.06824735,F,M,7,0
0.23,0.07247715,O,M,2,0
0.18,-0.10403657,N,K,3,0
-0.21,-0.074021414,I,K,2,0
0.02,-0.034954168,M,L,1,0
-0.07,-0.037618585,K,L,1,0
0.19,0.1356982,N,N,0,1
0.69,0.10356663,Q,N,3,0
-0.65,-0.121046394,D,K,7,0
-0.11,-0.051955283,K,L,1,0
0.02,-0.062003396,M,L,1,0
0.11,0.033032723,N,M,1,0
0.53,0.05810003,P,M,3,0
0.09,0.099801704,N,N,0,1
-0.39,-0.2014945,F,I,3,0
-0.21,-0.17696197,I,I,0,1
-0.05,-0.010765985,L,L,0,1
-0.04,0.01873187,L,M,1,0
0.63,0.06099437,Q,M,4,0
-0.35,0.06847747,G,M,6,0
-0.12,-0.17344871,K,I,2,0
-0.53,-0.21619476,E,I,4,0
0.14,-0.117362514,N,K,3,0
-0.26,0.014669612,H,M,5,0
-0.05,0.07577808,L,M,1,0
0.19,0.04698111,N,M,1,0
0.33,-0.21715656,O,I,6,0
-0.12,-0.11930004,K,K,0,1
0.21,-0.058091342,N,L,2,0
0.0,-0.07668669,M,K,2,0
0.04,0.019221887,M,M,0,1
0.12,0.054417424,N,M,1,0
-0.35,-0.06423737,G,L,5,0
-0.07,-0.16074938,K,J,1,0
-0.05,-0.0850325,L,K,1,0
0.09,0.009177342,N,M,1,0
0.23,0.06764697,O,M,2,0
0.04,0.09367191,M,N,1,0
-0.09,-0.07869236,K,K,0,1
-0.46,-0.07643686,E,K,6,0
-0.18,-0.02736511,I,L,3,0
-0.11,0.02955085,K,M,2,0
0.16,0.022386968,N,M,1,0
0.05,0.036797002,M,M,0,1
0.18,-0.084236704,N,K,3,0
0.11,-0.064167395,N,L,2,0
0.25,0.003952384,O,M,2,0
-0.39,0.06471902,F,M,7,0
0.23,0.07976353,O,M,2,0
0.18,-0.10745342,N,K,3,0
-0.21,-0.07138561,I,K,2,0
0.02,-0.040934347,M,L,1,0
-0.07,-0.037722506,K,L,1,0
0.19,0.12402221,N,N,0,1
0.69,0.09562703,Q,N,3,0
-0.65,-0.1268332,D,J,6,0
-0.11,-0.04522755,K,L,1,0
0.02,-0.06655926,M,L,1,0
0.11,0.026542112,N,M,1,0
0.53,0.050123677,P,M,3,0
0.09,0.09046775,N,N,0,1
-0.39,-0.21513525,F,I,3,0
-0.21,-0.18325484,I,I,0,1
-0.05,-0.012374282,L,L,0,1
-0.04,0.02011758,L,M,1,0
0.63,0.06526698,Q,M,4,0
-0.35,0.0800156,G,M,6,0
-0.12,-0.16996956,K,J,1,0
-0.53,-0.22631991,E,H,3,0
0.14,-0.12439921,N,J,4,0
-0.26,-0.0084731355,H,L,4,0
-0.05,0.11271706,L,N,2,0
0.19,0.03806728,N,M,1,0
0.33,-0.23709702,O,H,7,0
-0.12,-0.14346978,K,J,1,0
0.21,-0.06302292,N,L,2,0
0.0,-0.077269234,M,K,2,0
0.04,0.018327914,M,M,0,1
0.12,0.045384474,N,M,1,0
-0.35,-0.068579145,G,L,5,0
-0.07,-0.15949933,K,J,1,0
-0.05,-0.09192988,L,K,1,0
0.09,0.004266545,N,M,1,0
0.23,0.05682397,O,M,2,0
0.04,0.09097923,M,N,1,0
-0.09,-0.09844312,K,K,0,1
-0.46,-0.093469016,E,K,6,0
-0.18,-0.026643537,I,L,3,0
-0.11,0.027436316,K,M,2,0
0.16,0.010246336,N,M,1,0
0.05,0.02728802,M,M,0,1
0.18,-0.093455575,N,K,3,0
0.11,-0.080199815,N,K,3,0
0.16,-0.102847144,N,K,3,0
-0.39,0.042620495,F,M,7,0
0.23,0.07148692,O,M,2,0
0.18,-0.12070613,N,K,3,0
-0.21,-0.07766057,I,K,2,0
0.02,-0.059054084,M,L,1,0
-0.07,-0.032690898,K,L,1,0
0.19,0.10297766,N,N,0,1
0.69,0.07663901,Q,M,4,0
-0.65,-0.13104726,D,J,6,0
-0.11,-0.044953145,K,L,1,0
0.02,-0.06976953,M,K,2,0
0.11,0.02564837,N,M,1,0
0.53,0.044271447,P,M,3,0
0.09,0.08910964,N,N,0,1
-0.39,-0.21631846,F,I,3,0
-0.21,-0.18498275,I,I,0,1
-0.05,-0.015443407,L,L,0,1
-0.04,0.01741004,L,M,1,0
0.63,0.07059993,Q,M,4,0
-0.35,0.094267726,G,N,7,0
-0.12,-0.15321645,K,J,1,0
-0.53,-0.24214593,E,H,3,0
0.14,-0.13534054,N,J,4,0
-0.26,0.028274842,H,M,5,0
-0.05,0.11177707,L,N,2,0
0.19,0.033590846,N,M,1,0
0.33,-0.24380925,O,H,7,0
-0.12,-0.14014372,K,J,1,0
0.21,-0.066413976,N,L,2,0
0.0,-0.08109276,M,K,2,0
0.04,0.019014508,M,M,0,1
0.12,0.03746865,N,M,1,0
-0.35,-0.07124571,G,K,4,0
-0.07,-0.15552324,K,J,1,0
-0.05,-0.09400589,L,K,1,0
0.09,0.000611037,N,M,1,0
0.23,0.048900306,O,M,2,0
0.04,0.08054452,M,M,0,1
-0.09,-0.11331167,K,K,0,1
-0.46,-0.10149391,E,K,6,0
-0.18,-0.019769289,I,L,3,0
-0.11,0.033489764,K,M,2,0
0.16,0.009321883,N,M,1,0
0.05,0.023385778,M,M,0,1
0.18,-0.08743766,N,K,3,0
0.11,-0.08490375,N,K,3,0
0.16,-0.10913881,N,K,3,0
-0.07,-0.033168606,K,L,1,0
0.23,0.053353652,O,M,2,0
0.18,-0.13173638,N,J,4,0
-0.21,-0.077050954,I,K,2,0
0.02,-0.06285659,M,L,1,0
-0.07,-0.037989788,K,L,1,0
0.19,0.079983294,N,M,1,0
0.69,0.08607197,Q,M,4,0
-0.65,-0.13344075,D,J,6,0
-0.11,-0.053667836,K,L,1,0
0.02,-0.061181284,M,L,1,0
0.11,0.02941516,N,M,1,0
0.53,0.034987718,P,M,3,0
0.09,0.09508383,N,N,0,1
-0.39,-0.19691649,F,I,3,0
-0.21,-0.18689328,I,I,0,1
-0.05,-0.027705237,L,L,0,1
-0.04,0.015053004,L,M,1,0
0.63,0.08143601,Q,M,4,0
-0.35,0.11978853,G,N,7,0
-0.12,-0.12703606,K,J,1,0
-0.53,-0.24100067,E,H,3,0
0.14,-0.11993571,N,K,3,0
-0.26,0.02854804,H,M,5,0
-0.05,0.061525077,L,M,1,0
0.19,0.032105863,N,M,1,0
0.33,-0.21994974,O,I,6,0
